,Value,Feature
983,0.0,f29 f82
984,0.0,f29 f83
985,0.0,f29 f84
986,0.0,f29 f88
987,0.0,f29 f94
988,0.0,f29 f95
989,0.0,f29 f97
990,0.0,f29 f98
991,0.0,f29^2
992,0.0,f3 f10
993,0.0,f3 f11
994,0.0,f3 f14
995,0.0,f3 f15
996,0.0,f3 f16
997,0.0,f3 f17
998,0.0,f3 f19
999,0.0,f3 f23
1000,0.0,f3 f24
1001,0.0,f3 f30
1002,0.0,f3 f31
1003,0.0,f3 f32
1004,0.0,f3 f35
1005,0.0,f3 f36
1006,0.0,f3 f39
1007,0.0,f3 f44
1008,0.0,f3 f45
1009,0.0,f3 f49
1010,0.0,f3 f65
1011,0.0,f3 f66
1012,0.0,f3 f69
1013,0.0,f3 f70
1014,0.0,f3 f77
1015,0.0,f3 f84
1016,0.0,f3 f85
1017,0.0,f3 f86
1018,0.0,f3 f89
1019,0.0,f3 f90
1020,0.0,f3 f92
1021,0.0,f3 f93
1022,0.0,f3 f94
1023,0.0,f3 f96
1024,0.0,f3 f97
1025,0.0,f3 f99
1026,0.0,f30 f31
1027,0.0,f30 f32
1028,0.0,f30 f35
1029,0.0,f30 f36
1030,0.0,f30 f37
1031,0.0,f30 f40
1032,0.0,f30 f41
1033,0.0,f30 f42
1034,0.0,f30 f43
1035,0.0,f30 f44
1036,0.0,f30 f45
1037,0.0,f30 f46
1038,0.0,f30 f47
1039,0.0,f30 f48
1040,0.0,f30 f50
1041,0.0,f30 f51
1042,0.0,f30 f54
1043,0.0,f30 f55
1044,0.0,f30 f56
1045,0.0,f30 f57
1046,0.0,f30 f59
1047,0.0,f30 f60
1048,0.0,f30 f63
1049,0.0,f30 f66
1050,0.0,f30 f68
1051,0.0,f30 f70
1052,0.0,f30 f71
1053,0.0,f30 f72
1054,0.0,f30 f73
1055,0.0,f30 f74
1056,0.0,f30 f75
1057,0.0,f30 f76
1058,0.0,f30 f77
1059,0.0,f30 f80
1060,0.0,f30 f82
1061,0.0,f30 f83
1062,0.0,f30 f86
1063,0.0,f30 f87
1064,0.0,f30 f88
1065,0.0,f30 f89
1066,0.0,f30 f90
1067,0.0,f30 f91
1068,0.0,f30 f92
1069,0.0,f30 f94
1070,0.0,f30 f95
1071,0.0,f30 f96
1072,0.0,f30 f97
1073,0.0,f30^2
1074,0.0,f31 f32
1075,0.0,f31 f33
1076,0.0,f31 f35
1077,0.0,f31 f39
1078,0.0,f31 f41
1079,0.0,f31 f44
1080,0.0,f31 f45
1081,0.0,f31 f47
1082,0.0,f31 f52
1083,0.0,f31 f53
1084,0.0,f31 f55
1085,0.0,f31 f56
1086,0.0,f31 f58
1087,0.0,f31 f59
1088,0.0,f31 f61
1089,0.0,f31 f63
1090,0.0,f31 f64
1091,0.0,f31 f66
1092,0.0,f31 f69
1093,0.0,f31 f71
1094,0.0,f31 f75
1095,0.0,f31 f76
1096,0.0,f31 f77
1097,0.0,f31 f82
1098,0.0,f31 f85
1099,0.0,f31 f86
1100,0.0,f31 f88
1101,0.0,f31 f90
1102,0.0,f31 f91
1103,0.0,f31 f92
1104,0.0,f31 f95
1105,0.0,f31 f96
1106,0.0,f31 f97
1107,0.0,f31 f98
1108,0.0,f31 f99
1109,0.0,f31^2
1110,0.0,f32 f34
1111,0.0,f32 f36
1112,0.0,f32 f37
1113,0.0,f32 f39
1114,0.0,f32 f40
1115,0.0,f32 f41
1116,0.0,f32 f42
1117,0.0,f32 f43
1118,0.0,f32 f44
1119,0.0,f32 f48
1120,0.0,f32 f49
1121,0.0,f32 f53
1122,0.0,f32 f56
1123,0.0,f32 f57
1124,0.0,f32 f58
1125,0.0,f32 f60
1126,0.0,f32 f61
1127,0.0,f32 f62
1128,0.0,f32 f63
1129,0.0,f32 f64
1130,0.0,f32 f65
1131,0.0,f32 f66
1132,0.0,f32 f68
1133,0.0,f32 f69
1134,0.0,f32 f72
1135,0.0,f32 f73
1136,0.0,f32 f77
1137,0.0,f32 f78
1138,0.0,f32 f79
1139,0.0,f32 f80
1140,0.0,f32 f81
1141,0.0,f32 f84
1142,0.0,f32 f85
1143,0.0,f32 f86
1144,0.0,f32 f87
1145,0.0,f32 f89
1146,0.0,f32 f93
1147,0.0,f32 f97
1148,0.0,f32 f98
1149,0.0,f32 f99
